version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 659949029828 eni-0614c6b99754808d6 193.37.69.62 10.0.45.111 42887 23328 6 1 44 1724168231 1724168254 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 64.186.96.3 51258 123 17 1 76 1724168231 1724168254 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.194 10.0.45.111 14008 22 6 5 244 1724168231 1724168254 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 110.182.188.162 10.0.45.111 22441 23 6 1 40 1724168231 1724168254 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.194 22 4950 6 24 5397 1724168257 1724168270 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.192 22 23081 6 1 80 1724168257 1724168270 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.192 22 61293 6 108 12589 1724168257 1724168270 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.194 10.0.45.111 4950 22 6 25 7129 1724168257 1724168270 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.192 10.0.45.111 61293 22 6 394 522929 1724168257 1724168270 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.193 22 28742 6 6 428 1724168257 1724168270 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.193 10.0.45.111 28742 22 6 9 964 1724168257 1724168270 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.192 10.0.45.111 23081 22 6 2 156 1724168257 1724168270 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 13.214.173.166 10.0.45.111 0 0 1 1 28 1724168257 1724168270 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.193 22 44269 6 39 4868 1724168237 1724168263 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 94.156.66.99 10.0.42.239 47797 80 6 1 44 1724168237 1724168263 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 162.142.125.241 10.0.42.239 11650 36558 17 1 42 1724168237 1724168263 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.193 22 55140 6 253 28157 1724168237 1724168263 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 198.235.24.202 10.0.42.239 52442 11300 6 1 44 1724168237 1724168263 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 88.99.3.176 10.0.42.239 443 62931 6 1 44 1724168237 1724168263 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 83.222.190.122 10.0.42.239 42764 5021 6 1 40 1724168237 1724168263 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.194 22 44300 6 150 14701 1724168237 1724168263 ACCEPT OK
